Карпов Иван Максимович 1 2 0 Да ИУК Гудов Амеличева
Смирнов Алексей Николаевич 2 2 15000 Нет МК Иванова Тихонов
Петров Дмитрий Владимирович 3 4 22000 Нет ИУК Сидоров Тихонова
Сидоров Андрей Михайлович 4 5 0 Да ИУК Васильев Калинин
Кузнецов Николай Игоревич 5 2 18000 Нет МК Петров Калинин
Морозов Артем Олегович 1 2 25000 Нет ИУК Смирнова Тихонова
Васильев Михаил Николаевич 2 3 30000 Нет МК Кузнецова Тихонов
Попов Сергей Александрович 3 4 0 Да География Морозова Преображенский
Соколов Андрей Владимирович 4 2 16000 Нет МК Попова Преображенский
Лебедев Сергей Николаевич 5 6 0 Да Физкультура Соколова Тихонов
Козлов Михаил Александрович 1 2 28000 Нет ИУК Лебедева Радимиров
Новиков Дмитрий Сергеевич 2 3 0 Да Информатика Козлова Калинин
Макаров Артем Николаевич 3 4 19000 Нет МК Новикова Понтёмки
Андреев Михаил Александрович 4 5 0 Да ИУК Макарова Тихонов
Тихонов Дмитрий Сергеевич 5 2 24000 Нет МК Андреева Шереметев
Алексеев Михаил Николаевич 1 2 0 Да ИУК Тихонова Шереметев
Григорьев Сергей Александрович 2 2 0 Да МК Александров Лысенко
Романов Андрей Владимирович 4 5 0 Да ИУК Григорьев Тихонова
Сергеев Дмитрий Сергеевич 5 2 19000 Нет МК Романов Рамазанов
Владимиров Михаил Александрович 1 2 0 Да ИУК Сергев Радимиров
Александров Сергей Дмитриевич 2 3 27000 Нет МК Барон Потёмкин
Данилов Андрей Михаилович 3 4 0 Да ИУК Александров Воеводин
Медведев Дмитрий Сергей 4 5 14000 Нет ИУК Данилов Рамазанов
Егоров Михаил Александрович 5 6 0 Да ИУК Медведев Андреянов
Титов Андрей Сергеевич 1 2 21000 Нет ИУК Егоров Владимирова
Комаров Дмитрий Михаилович 2 3 0 Да ИУК Титов Барон
Михайлов Сергей Александрович 3 4 29000 Нет МК Комаров Воеводин
Федоров Андрей Дмитриевич 4 5 0 Да ИУК Михайлов Радимиров
Комарова Анастасия Сергеевна 5 6 17000 Нет МК Федоров Сидорова
Соколова Елена Дмитриевна 1 2 0 Да ИУК Комарова Сидорова
